Time,HH,HR,HS,HW,RR,RS,RW,SS,SW,WW,Total.Pop.
0,0,0,0,0,0,0,0,0,0,50,50
1,0,0,0,0,0,0,0,0,0,62,62
2,0,0,0,0,0,0,0,0,0,72,72
3,0,0,0,0,0,0,0,0,0,87,87
4,0,0,0,0,0,0,0,0,0,112,112
5,0,0,0,0,0,0,0,0,0,111,111
6,0,0,0,0,0,0,0,0,0,125,125
7,0,0,0,0,0,0,0,0,0,107,107
8,0,0,0,0,0,0,0,0,0,114,114
9,0,0,0,0,0,0,0,0,0,125,125
10,0,0,0,0,0,0,0,0,0,120,120
11,0,0,0,0,0,0,0,0,0,102,102
12,0,0,0,0,0,0,0,0,0,89,89
13,0,0,0,0,0,0,0,0,0,86,86
14,0,0,0,0,0,0,0,0,0,80,80
15,0,0,0,0,0,0,0,0,0,78,78
16,0,0,0,0,0,0,0,0,0,75,75
17,0,0,0,0,0,0,0,0,0,65,65
18,0,0,0,0,0,0,0,0,0,91,91
19,0,0,0,0,0,0,0,0,0,74,74
20,0,0,0,0,0,0,0,0,0,68,68
21,0,0,0,0,0,0,0,0,0,55,55
22,0,0,0,0,0,0,0,0,0,58,58
23,0,0,0,0,0,0,0,0,0,56,56
24,0,0,0,0,0,0,0,0,0,59,59
25,0,0,0,0,0,0,0,0,0,68,68
26,0,0,0,0,0,0,0,0,0,73,73
27,0,0,0,0,0,0,0,0,0,84,84
28,0,0,0,0,0,0,0,0,0,58,58
29,0,0,0,0,0,0,0,0,0,50,50
30,0,0,0,0,0,0,0,0,0,76,77
31,0,0,0,0,0,0,0,0,0,87,87
32,0,0,0,0,0,0,0,0,0,56,57
33,0,0,0,0,0,0,0,0,0,60,60
34,0,0,0,0,0,0,0,0,0,65,66
35,0,0,0,0,0,0,0,0,0,78,78
36,0,0,0,0,0,0,0,0,0,69,70
37,0,0,0,0,0,0,0,0,0,73,73
38,0,0,0,0,0,0,0,0,0,58,58
39,0,0,0,0,0,0,0,0,0,71,71
40,0,0,0,0,0,0,0,0,0,59,60
41,0,0,0,0,0,0,0,0,0,61,61
42,0,0,0,0,0,0,0,0,0,58,60
43,0,0,0,0,0,0,0,0,0,54,54
44,0,0,0,0,0,0,0,0,0,58,58
45,0,0,0,0,0,0,0,0,0,66,68
46,0,0,0,0,0,0,0,0,0,54,55
47,0,0,0,0,0,0,0,0,0,74,76
48,0,0,0,0,0,0,0,0,0,54,55
49,0,0,0,0,0,0,0,0,0,48,48
50,0,0,0,0,0,0,0,0,0,78,79
51,0,0,0,0,0,0,0,0,0,68,69
52,0,0,0,0,0,0,0,0,0,55,57
53,0,0,0,0,0,0,0,0,0,58,59
54,0,0,0,0,0,0,0,0,0,69,70
55,0,0,0,0,0,0,0,0,0,64,65
56,0,0,0,0,0,0,0,0,0,59,59
57,0,0,0,0,0,0,0,0,0,60,60
58,0,0,0,0,0,0,0,0,0,59,62
59,0,0,0,0,0,0,0,0,0,62,62
60,0,0,0,0,0,0,0,0,0,57,57
61,0,0,0,0,0,0,0,0,0,51,51
62,0,0,0,0,0,0,0,0,0,60,60
63,0,0,0,0,0,0,0,0,0,51,52
64,0,0,0,0,0,0,0,0,0,57,57
65,0,0,0,0,0,0,0,0,0,52,52
66,0,0,0,2,0,0,0,0,0,50,53
67,0,0,0,0,0,0,0,0,0,61,61
68,0,0,0,1,0,0,0,0,0,46,48
69,0,0,0,0,0,0,0,0,0,51,51
70,0,0,0,1,0,0,0,0,0,49,50
71,0,0,0,0,0,0,0,0,0,50,51
72,0,0,0,1,0,0,0,0,0,59,60
73,0,0,0,0,0,0,0,0,0,67,68
74,0,0,0,0,0,0,0,0,0,58,58
75,0,0,0,1,0,0,0,0,0,58,59
