Time,HH,HR,HS,HW,RR,RS,RW,SS,SW,WW,Total.Pop.
0,0,0,0,0,0,0,0,0,0,50,50
1,0,0,0,0,0,0,0,0,0,45,45
2,0,0,0,0,0,0,0,0,0,76,76
3,0,0,0,0,0,0,0,0,0,91,91
4,0,0,0,0,0,0,0,0,0,103,103
5,0,0,0,0,0,0,0,0,0,92,92
6,0,0,0,0,0,0,0,0,0,100,100
7,0,0,0,0,0,0,0,0,0,128,128
8,0,0,0,0,0,0,0,0,0,117,117
9,0,0,0,0,0,0,0,0,0,104,104
10,1,0,0,0,0,0,0,0,0,96,97
11,0,0,0,0,0,0,0,0,0,95,95
12,3,0,0,0,0,0,0,0,0,83,86
13,2,0,0,0,0,0,0,0,0,68,70
14,4,0,0,0,0,0,0,0,0,94,98
15,3,0,0,0,0,0,0,0,0,74,77
16,2,0,0,0,0,0,0,0,0,72,74
17,1,0,0,0,0,0,0,0,0,73,74
18,1,0,0,0,0,0,0,0,0,59,60
19,3,0,0,0,0,0,0,0,0,71,74
20,6,0,0,0,0,0,0,0,0,66,72
21,5,0,0,0,0,0,0,0,0,69,74
22,1,0,0,0,0,0,0,0,0,75,76
23,2,0,0,0,0,0,0,0,0,63,65
24,2,0,0,0,0,0,0,0,0,70,72
25,3,0,0,0,0,0,0,0,0,74,77
26,3,0,0,0,0,0,0,0,0,58,61
27,0,0,0,0,0,0,0,0,0,67,67
28,1,0,0,0,0,0,0,0,0,60,61
29,1,0,0,0,0,0,0,0,0,73,74
30,0,0,0,0,0,0,0,0,0,84,84
31,1,0,0,0,0,0,0,0,0,71,73
32,1,0,0,0,0,0,0,0,0,64,65
33,0,0,0,0,0,0,0,0,0,68,68
34,0,0,0,0,0,0,0,0,0,74,75
35,2,0,0,0,0,0,0,0,0,67,70
36,0,0,0,0,0,0,0,0,0,78,78
37,0,0,0,0,0,0,0,0,0,65,65
38,0,0,0,0,0,0,0,0,0,59,60
39,0,0,0,0,0,0,0,0,0,57,59
40,1,0,0,0,0,0,0,0,0,62,63
41,0,0,0,0,0,0,0,0,0,65,66
42,0,0,0,0,0,0,0,0,0,65,65
43,1,0,0,0,0,0,0,0,0,57,58
44,0,0,0,0,0,0,0,0,0,60,62
45,0,0,0,0,0,0,0,0,0,67,67
46,0,0,0,0,0,0,0,0,0,52,52
47,0,0,0,0,0,0,0,0,0,58,61
48,0,0,0,0,0,0,0,0,0,72,72
49,0,0,0,1,0,0,0,0,0,59,60
50,0,0,0,0,0,0,0,0,0,48,50
51,0,0,0,0,0,0,0,0,0,60,60
52,0,0,0,0,0,0,0,0,0,59,61
53,0,0,0,0,0,0,0,0,0,60,60
54,0,0,0,0,0,0,0,0,0,64,65
55,0,0,0,0,0,0,0,0,0,68,68
56,0,0,0,0,0,0,0,0,0,67,70
57,0,0,0,0,0,0,0,0,0,62,64
58,0,0,0,1,0,0,0,0,0,51,53
59,0,0,0,3,0,0,0,0,0,57,61
60,0,0,0,0,0,0,0,0,0,55,56
61,0,0,0,0,0,0,0,0,0,61,62
62,0,0,0,0,0,0,0,0,0,47,48
63,0,0,0,1,0,0,0,0,0,53,57
64,0,0,0,1,0,0,0,0,0,61,62
65,0,0,0,0,0,0,0,0,0,50,50
66,0,0,0,0,0,0,0,0,0,41,41
67,0,0,0,1,0,0,0,0,0,52,54
68,0,0,0,2,0,0,0,0,0,51,54
69,0,0,0,0,0,0,0,0,0,34,35
70,0,0,0,1,0,0,0,0,0,77,79
71,0,0,0,0,0,0,0,0,0,58,58
72,0,0,0,0,0,0,0,0,0,64,65
73,0,0,0,1,0,0,0,0,0,44,46
74,0,0,0,2,0,0,0,0,0,43,45
75,0,0,0,1,0,0,0,0,0,67,69
76,0,0,0,0,0,0,0,0,0,48,48
77,0,0,0,1,0,0,0,0,0,51,52
78,0,0,0,0,0,0,0,0,0,55,55
79,0,0,0,1,0,0,0,0,0,59,62
80,0,0,0,1,0,0,0,0,0,54,56
81,0,0,0,1,0,0,0,0,0,53,54
82,0,0,0,1,0,0,0,0,0,50,51
83,0,0,0,0,0,0,0,0,0,53,55
84,0,0,0,0,0,0,0,0,0,58,61
85,0,0,0,1,0,0,0,0,0,51,54
86,0,0,0,2,0,0,0,0,0,58,60
87,0,0,0,1,0,0,0,0,0,50,52
88,0,0,0,0,0,0,0,0,0,66,67
89,0,0,0,2,0,0,0,0,0,56,59
90,0,0,0,0,0,0,0,0,0,65,65
91,0,0,0,0,0,0,0,0,0,42,44
92,0,0,0,3,0,0,0,0,0,58,61
93,0,0,0,6,0,0,0,0,0,64,72
94,0,0,0,4,0,0,0,0,0,67,73
95,0,0,0,4,0,0,0,0,0,66,70
96,0,0,0,3,0,0,0,0,0,65,69
97,0,0,0,2,0,0,0,0,0,56,59
98,0,0,0,1,0,0,0,0,0,61,65
99,0,0,0,1,0,0,0,0,0,59,64
100,0,0,0,1,0,0,0,0,0,55,56
101,0,0,0,1,0,0,0,0,0,54,55
102,1,0,0,3,0,0,0,0,0,64,70
103,0,0,0,2,0,0,0,0,0,60,62
104,0,0,0,1,0,0,0,0,0,52,58
105,0,0,0,2,0,0,0,0,0,47,51
106,0,0,0,5,0,0,0,0,0,52,57
107,0,0,0,4,0,0,0,0,0,46,50
108,0,0,0,0,0,0,0,0,0,52,53
109,2,0,0,1,0,0,0,0,0,52,57
110,0,0,0,0,0,0,0,0,0,54,55
111,2,0,0,1,0,0,0,0,0,40,45
112,0,0,0,3,0,0,0,0,0,50,54
113,0,0,0,2,0,0,0,0,0,42,47
114,0,0,0,2,0,0,0,0,0,50,55
115,0,0,0,1,0,0,0,0,0,54,56
116,0,0,0,3,0,0,0,0,0,66,71
117,0,0,0,4,0,0,0,0,0,51,58
118,0,0,0,0,0,0,0,0,0,56,60
119,0,0,0,3,0,0,0,0,0,55,62
120,0,0,0,1,0,0,0,0,0,55,60
121,0,0,0,3,0,0,0,0,0,67,71
122,1,0,0,3,0,0,0,0,0,45,53
123,0,0,0,5,0,0,0,0,0,49,55
124,1,0,0,1,0,0,0,0,0,50,53
125,0,0,0,2,0,0,0,0,0,64,66
126,0,0,0,2,0,0,0,0,0,44,48
127,0,0,0,4,0,0,0,0,0,48,55
128,0,0,0,3,0,0,0,0,0,56,59
129,0,0,0,2,0,0,0,0,0,52,59
130,0,0,0,4,0,0,0,0,0,61,71
131,1,0,0,4,0,0,0,0,0,63,69
132,0,0,0,4,0,0,0,0,0,38,46
133,1,0,0,2,0,0,0,0,0,44,49
134,0,0,0,5,0,0,0,0,0,54,64
135,0,0,0,4,0,0,0,0,0,35,43
136,1,0,0,2,0,0,0,0,0,52,60
137,0,0,0,1,0,0,0,0,0,59,61
138,1,0,0,1,0,0,0,0,0,50,55
139,0,0,0,3,0,0,0,0,0,44,50
140,0,0,0,2,0,0,0,0,0,43,53
141,0,0,0,1,0,0,0,0,0,48,55
